slug	title	type	missing	max	count	verdict	recover_isbn
kinpeibai-watanabe-1995	金瓶梅	standard	[4, 5, 6]	7	4	RECOVERABLE	{"4": "9784575722932", "5": "9784575724158", "6": "9784575724639"}
myououden-rei	明王伝レイ	standard	[8, 9, 10]	12	9	RECOVERABLE	{"8": "9784063131437", "9": "9784063131444", "10": "9784063132113"}
seibonjinden	聖凡人伝	standard	[6, 8, 9]	10	7	RECOVERABLE	{"6": "9784091921567"}
shadow-skill	Shadow skill	standard	[5, 6, 7]	11	8	RECOVERABLE	{"5": "9784063721348", "6": "9784063759235", "7": "9784063760408"}
akashiro-tamago	赤白たまご	bunkobon	[3, 4]	8	6	RECOVERABLE	{"3": "9784887417632", "4": "9784887418103"}
g-defend	G・defend	bunkobon	[26, 27]	31	26	RECOVERABLE	{"26": "9784864233149", "27": "9784864233156"}
gang-king	ギャングキング	standard	[28, 29]	37	35	RECOVERABLE	{"28": "9784063930238", "29": "9784063931501"}
golden-boy-1993	Golden boy	standard	[3, 4]	5	3	RECOVERABLE	{"3": "9784088587233", "4": "9784088587240"}
hakatakko-junjou	博多っ子純情	aizoban	[3, 4]	5	3	RECOVERABLE	{"3": "9784120019340", "4": "9784120019357"}
kishibe-no-uta	岸辺の唄	standard	[2, 3]	4	2	RECOVERABLE	{"2": "9784834275087", "3": "9784834275124"}
abashiriikka	あばしり一家	bunkobon	[6]	7	6	RECOVERABLE	{"6": "9784253056564"}
bats-terry	バツ＆テリー	wideban	[3]	4	2	RECOVERABLE	{"3": "9784845822171"}
chaos-damonne	カオスだもんね!	standard	[3]	20	19	RECOVERABLE	{"3": "9784048708708"}
cyborg-009	サイボーグ009	bunkobon	[21]	23	22	RECOVERABLE	{"21": "9784253103732"}
fire-emblem-watanabe-1992	ファイアーエムブレム	standard	[4]	5	4	RECOVERABLE	{"4": "9784048527903"}
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	standard	[2]	4	3	RECOVERABLE	{"2": "9784061004825"}
gifuu-doudou	義風堂々!!	standard	[2]	14	13	RECOVERABLE	{"2": "9784199800290"}
guranpuri-tengoku	グランプリ天国	standard	[2]	6	5	RECOVERABLE	{"2": "9784779609534"}
heba-hello-chan	へば!Helloちゃん	standard	[4]	5	4	RECOVERABLE	{"4": "9784063194135"}
hikari-to-tomoni	光とともに…	bunkobon	[9]	10	9	RECOVERABLE	{"9": "9784253104562"}
hitori-toranpu	夢の果て	standard	[3]	5	4	RECOVERABLE	{"3": "9784150307080"}
jinzou-ningen-kikaider	人造人間キカイダー	bunkobon	[2]	3	2	RECOVERABLE	{"2": "9784253063173"}
kamui-den	カムイ伝	aizoban	[3]	4	2	RECOVERABLE	{"3": "9784091701039"}
kaze-no-tani-no-naushika	風の谷のナウシカ	wideban	[2]	3	2	RECOVERABLE	{"2": "9784197701131"}
komatta-toki-niwa-hoshi-ni-kike	困った時には星に聞け!	standard	[4]	26	25	RECOVERABLE	{"4": "9784887418233"}
kyougeki-burai-ryouran	京劇的無頼繚乱	standard	[2]	7	6	RECOVERABLE	{"2": "9784776794615"}
magia-record-2025	マギアレコード	standard	[5]	12	11	RECOVERABLE	{"5": "9784832273306"}
maji	本気!	bunkobon	[18]	25	24	RECOVERABLE	{"18": "9784253048835"}
mei-tantei-asami-mitsuhiko-ando-ryojou-mystery-comic-selection	名探偵浅見光彦＆旅情ミステリーコミックセレクション	standard	[4]	23	22	RECOVERABLE	{"4": "9784253245326"}
murci-lago	Murciélago	standard	[13]	28	27	RECOVERABLE	{"13": "9784757559585"}
nagi	椰	standard	[3]	8	7	RECOVERABLE	{"3": "9784063193473"}
nanahan-rider	750ライダー	bunkobon	[3]	4	2	RECOVERABLE	{"3": "9784253171977"}
nijiko-lullaby	虹子ララバイ	standard	[4]	9	8	RECOVERABLE	{"4": "9784575722574"}
nijinsky-guuwa	ニジンスキー寓話	bunkobon	[3]	4	3	RECOVERABLE	{"3": "9784253153232"}
obi-o-gyutto-ne	帯をギュッとね!	wideban	[14]	15	14	RECOVERABLE	{"14": "9784091226341"}
oretachi-no-field	俺たちのフィールド	wideban	[8]	18	17	RECOVERABLE	{"8": "9784091231185"}
petshop-of-horrors	Petshop of horrors	standard	[7]	10	9	RECOVERABLE	{"7": "9784022670830"}
rave	Rave	standard	[9]	35	34	RECOVERABLE	{"9": "9784063703931"}
rinta-no-momoiro-comic	りん太のももいろコミック	standard	[2]	19	18	RECOVERABLE	{"2": "9784764817586"}
sega-no-game-wa-sekaiichiiii	セガのゲームは世界いちぃぃぃ!	standard	[2]	3	2	RECOVERABLE	{"2": "9784797318029"}
shi-no-white-magic	死のホワイトマジック	standard	[2]	4	3	RECOVERABLE	{"2": "9784063131680"}
shinpan-himitsu-tantei-jieiei	秘密探偵JA	bunkobon	[10]	15	14	RECOVERABLE	{"10": "9784834271706"}
shippo-ga-tomodachi	シッポがともだち	standard	[3]	7	6	RECOVERABLE	{"3": "9784087852516"}
super-zugan	スーパーヅガン	bunkobon	[2]	3	2	RECOVERABLE	{"2": "9784884753887"}
tanpopo-san-no-uta	たんぽぽさんの詩	standard	[3]	5	4	RECOVERABLE	{"3": "9784575725278"}
tokyo-babylon	東京BABYLON	standard	[4]	7	6	RECOVERABLE	{"4": "9784403500299"}
urayasu-tekkin-kazoku	浦安鉄筋家族	bunkobon	[10]	15	14	RECOVERABLE	{"10": "9784253054430"}
watashi-ga-mama-yo	わたしがママよ	standard	[4]	5	4	RECOVERABLE	{"4": "9784088623184"}
yajikita-gakuen-douchuuki	やじきた学園道中記	bunkobon	[15]	18	17	RECOVERABLE	{"15": "9784253091862"}
yasei-densetsu	野性伝説	bunkobon	[3]	7	6	RECOVERABLE	{"3": "9784091891730"}
manga-grimm-douwa	まんがグリム童話	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 58]	62	24	SOURCE_GAP	{}
tokusen-ol-shinkaron	特選OL進化論	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]	35	2	SOURCE_GAP	{}
dare-nimo-ienai-hi	誰にも言えない(秘)	standard	[7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 29, 30, 31, 34, 35, 37, 39, 40, 41, 42]	44	14	SOURCE_GAP	{}
dokusha-toukou-shinrei-taiken	読者投稿心霊体験	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27]	28	3	SOURCE_GAP	{}
crescent	CRESCENT	standard	[2, 4, 7, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 26, 31, 32, 35, 37, 38, 40, 42]	43	20	SOURCE_GAP	{}
umanari-1-haron-theater	馬なり1ハロン劇場	standard	[12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	46	25	SOURCE_GAP	{}
piasu-club	ピアスクラブ	standard	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23]	24	5	SOURCE_GAP	{}
seishun	青春	standard	[3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 24, 26, 33, 36]	37	18	SOURCE_GAP	{}
milky-comic	milky comic	standard	[9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]	30	5	SOURCE_GAP	{}
neko-puni	ねこぷに	standard	[4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]	26	6	SOURCE_GAP	{}
b-boy	b-Boy	standard	[2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	21	4	SOURCE_GAP	{}
mikio-to-mikio	みきおとミキオ	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	19	2	SOURCE_GAP	{}
neko-punch	ねこぱんち	standard	[11, 12, 13, 15, 16, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 31, 32]	33	7	SOURCE_GAP	{}
shichikai-karano-tegami	七階からの手紙	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	19	2	SOURCE_GAP	{}
gekiga-shousetsu-yoshida-gakkou	劇画 小説吉田学校	standard	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]	19	3	SOURCE_GAP	{}
kariage-kun	かりあげクン	standard	[30, 32, 34, 35, 36, 37, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]	69	53	SOURCE_GAP	{}
saitou-takawo-no-taifuu-gorou	さいとう・たかを'S台風五郎	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	18	2	SOURCE_GAP	{}
shiori-experience-2021	Shiori experience	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	22	8	SOURCE_GAP	{}
shounen-shoujo-jinbutsu-nippon-no-rekishi	少年少女人物日本の歴史	standard	[6, 9, 10, 11, 12, 13, 14, 16, 17, 19, 21, 22, 23, 24]	25	8	SOURCE_GAP	{}
hana-1996	花	standard	[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]	21	9	SOURCE_GAP	{}
hana-2005	花	standard	[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]	21	9	SOURCE_GAP	{}
hana-matsumoto-2002	花	standard	[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]	21	9	SOURCE_GAP	{}
hana-takeda-1988	花	standard	[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]	21	9	SOURCE_GAP	{}
shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	standard	[16, 18, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32]	33	21	SOURCE_GAP	{}
shin-kurosagi-kanketsu-hen	新クロサギ完結編	standard	[5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]	18	6	SOURCE_GAP	{}
gakken-manga-nippon-no-rekishi	学研まんが 日本の歴史	standard	[2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15]	17	6	SOURCE_GAP	{}
haikara-san-ga-tooru	はいからさんが通る	standard	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	20	9	SOURCE_GAP	{}
hana	花	standard	[4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]	21	10	SOURCE_GAP	{}
nagisa	NAGISA	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	13	2	SOURCE_GAP	{}
comic-chuurippu	コミックチューリップ	standard	[3, 5, 7, 8, 9, 10, 12, 13, 14, 15]	16	6	SOURCE_GAP	{}
comic-tulip	コミックチューリップ	standard	[3, 5, 7, 8, 9, 10, 12, 13, 14, 15]	16	5	SOURCE_GAP	{}
shounen-shoujo-nippon-no-rekishi	少年少女日本の歴史	standard	[3, 4, 5, 6, 7, 8, 9, 12, 13, 18]	20	10	SOURCE_GAP	{}
tokusen-kobo-chan	特選コボちゃん	standard	[2, 3, 6, 7, 9, 10, 11, 13, 15, 16]	19	9	SOURCE_GAP	{}
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	standard	[4, 5, 6, 7, 8, 9, 10, 11, 12]	16	7	SOURCE_GAP	{}
comic-chuurippu-1988	コミックチューリップ	standard	[3, 5, 7, 8, 9, 10, 12, 13, 15]	16	6	SOURCE_GAP	{}
kinshin-soukan-ando-esuemu-taiken	近親相姦＆SM体験	standard	[2, 3, 4, 5, 6, 7, 8, 9, 10]	12	3	SOURCE_GAP	{}
mobile-suit-gundam-emuesuvui-aaru	機動戦士ガンダムMSV-R	standard	[8, 9, 10, 11, 12, 13, 14, 15, 16]	26	11	SOURCE_GAP	{}
oruchuban-ebichu	おるちゅばんエビちゅ	standard	[4, 5, 6, 7, 8, 9, 10, 11, 12]	14	5	SOURCE_GAP	{}
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	standard	[2, 3, 4, 5, 6, 9, 10, 11]	16	8	SOURCE_GAP	{}
lemon-kids	レモンキッズ	standard	[2, 3, 4, 5, 7, 8, 9, 10]	14	6	SOURCE_GAP	{}
pachisuro-yancha-bugi	パチスロやんちゃブギ	standard	[3, 4, 7, 10, 11, 13, 15, 18]	20	12	SOURCE_GAP	{}
saitou-takao-ikenami-shoutarou-jidai-gekiga-waido-selection	さいとう・たかを池波正太郎時代劇画ワイドセレクション	standard	[2, 3, 4, 5, 6, 7, 8, 9]	19	11	SOURCE_GAP	{}
birth-2002	BIRTH	standard	[2, 3, 4, 5, 6, 7, 8]	9	2	SOURCE_GAP	{}
daiki-no-baka-h-special	大紀のバカHスペシャル	standard	[3, 4, 5, 6, 7, 8, 9]	10	2	SOURCE_GAP	{}
gokudoumeshi	極道めし	standard	[2, 3, 4, 5, 6, 7, 8]	10	3	SOURCE_GAP	{}
manga-houritsu-no-nukeana	マンガ法律の抜け穴	standard	[4, 6, 7, 8, 9, 10, 11]	12	5	SOURCE_GAP	{}
mobile-suit-gundam-seed-destiny-2005	機動戦士ガンダムSEED DESTINY	standard	[5, 6, 7, 8, 9, 10, 11]	13	6	SOURCE_GAP	{}
neko-youkai	ねこようかい	standard	[2, 3, 4, 5, 6, 7, 8]	11	4	SOURCE_GAP	{}
pachisuro-hitoritabi	パチスロひとり旅	standard	[7, 8, 9, 10, 11, 12, 13]	15	8	SOURCE_GAP	{}
tobaku-datenroku-kaiji	賭博堕天録カイジ	standard	[17, 18, 19, 20, 21, 22, 23]	24	17	SOURCE_GAP	{}
canon-1989	カノン	standard	[2, 3, 4, 5, 6, 7]	8	2	SOURCE_GAP	{}
canon-2023	カノン	standard	[2, 3, 4, 5, 6, 7]	8	2	SOURCE_GAP	{}
dai-kaizoku-jidai	大海賊時代	standard	[3, 4, 5, 6, 7, 8]	9	2	SOURCE_GAP	{}
gush-mania	GUSH mania	standard	[2, 3, 4, 5, 6, 8]	9	3	SOURCE_GAP	{}
hamster-shiiku-nikki	ハムスター飼育日記	standard	[2, 3, 4, 5, 6, 7]	8	2	SOURCE_GAP	{}
haruka-tsuushin-haruka-naru-toki-no-naka-de	はるか通信―遙かなる時空の中で	standard	[2, 3, 4, 6, 8, 9]	10	4	SOURCE_GAP	{}
hoppu	ホップ	standard	[2, 3, 4, 5, 10, 11]	15	9	SOURCE_GAP	{}
houshin-kenbunroku	封神見聞録	standard	[4, 5, 6, 7, 8, 10]	13	7	SOURCE_GAP	{}
kanon-takemiya-1986	カノン	standard	[2, 3, 4, 5, 6, 7]	8	2	SOURCE_GAP	{}
kanon-usami-2003	カノン	standard	[2, 3, 4, 5, 6, 7]	8	2	SOURCE_GAP	{}
sekainorekishi	世界の歴史	standard	[4, 5, 6, 8, 10, 12]	15	9	SOURCE_GAP	{}
toaru-kagaku-no-railgun	とある科学の超電磁砲	standard	[13, 14, 15, 16, 17, 18]	20	14	SOURCE_GAP	{}
atagoul	アタゴオル	standard	[4, 5, 6, 7, 8]	9	4	SOURCE_GAP	{}
conde-koma	コンデ・コマ	standard	[10, 11, 12, 13, 14]	15	10	SOURCE_GAP	{}
dogs	DOGS	standard	[2, 3, 4, 5, 6]	10	5	SOURCE_GAP	{}
ekiben-hitoritabi	駅弁ひとり旅	standard	[9, 10, 11, 12, 13]	17	12	SOURCE_GAP	{}
euromanga	euromanga	standard	[2, 3, 4, 5, 6]	8	3	SOURCE_GAP	{}
gendaijuukyouden	現代柔侠伝	standard	[4, 5, 7, 8, 9]	16	11	SOURCE_GAP	{}
heisei-kochikame-13-nen	平成こち亀13年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-14-nen	平成こち亀14年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-15-nen	平成こち亀15年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-16-nen	平成こち亀16年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-17-nen	平成こち亀17年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-18-nen	平成こち亀18年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-19-nen	平成こち亀19年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-20-nen	平成こち亀 20年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-21-nen	平成こち亀 21年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-22-nen	平成こち亀 22年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-23-nen	平成こち亀23年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-24-nen	平成こち亀24年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-25-nen	平成こち亀25年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-26-nen	平成こち亀26年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
heisei-kochikame-27-nen	平成こち亀27年	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
horror-occult-kyousaku-daizenshuu	ホラーオカルト競作大全集	standard	[2, 3, 4, 5, 7]	8	3	SOURCE_GAP	{}
kanon	Kanon	standard	[3, 4, 5, 6, 7]	8	2	SOURCE_GAP	{}
mangetsunoyoruni	まんげつのよるに	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
niigata-manga-taishou-sakuhinshuu	にいがたマンガ大賞作品集	standard	[4, 5, 6, 8, 9]	10	5	SOURCE_GAP	{}
oni-iga-2	男弐	standard	[3, 4, 5, 6, 7]	8	3	SOURCE_GAP	{}
saibaa-comics	サイバーコミックス	standard	[6, 7, 8, 9, 10]	11	2	SOURCE_GAP	{}
shamo-1990	軍鶏	standard	[2, 4, 6, 7, 8]	9	4	SOURCE_GAP	{}
shima-kousaku-zenshuu	島耕作全集	standard	[3, 4, 6, 7, 8]	9	3	SOURCE_GAP	{}
shousetsu-fajji	小説FUDGE	standard	[5, 6, 7, 9, 10]	11	3	SOURCE_GAP	{}
sprite-arimura-1995	SPRITE	standard	[2, 4, 5, 6, 7]	9	4	SOURCE_GAP	{}
tokimekiarisu	ときめきアリス	standard	[2, 3, 4, 5, 6]	7	2	SOURCE_GAP	{}
aio-ageyou	愛をあげよう	standard	[3, 4, 5, 6]	9	5	SOURCE_GAP	{}
arms	ARMS	wideban	[5, 6, 7, 8]	12	8	SOURCE_GAP	{}
b-t-x-1999	B'T X-ビート・エックス-	standard	[9, 10, 11, 12]	15	11	SOURCE_GAP	{}
bikkuriman-omoshiro-land	ビックリマンおもしろランド	standard	[5, 6, 7, 8]	9	2	SOURCE_GAP	{}
bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	standard	[13, 14, 15, 16]	21	17	SOURCE_GAP	{}
doughnuts-books	Doughnuts books	standard	[28, 30, 31, 33]	34	15	SOURCE_GAP	{}
dr	Dr	standard	[2, 3, 12, 14]	15	11	SOURCE_GAP	{}
enueichikei-manga-chikyuu-daikikou	NHKまんが地球大紀行	standard	[2, 3, 4, 5]	6	2	SOURCE_GAP	{}
fate-grand-order-turas-r-alta	Fate/Grand Order-turas réalta-	standard	[3, 4, 18, 19]	21	16	SOURCE_GAP	{}
guruguru-kakumei	ぐるぐる革命	standard	[2, 7, 8, 11]	12	8	SOURCE_GAP	{}
hokuto-no-ken-2016	北斗の拳	standard	[2, 3, 4, 7]	9	5	SOURCE_GAP	{}
