old	new
konyakusha-ni-daredakke-to-iwareta-no-dekonomamashiranaifuri-de-ikaseteitadakima	konyakusha-ni-daredakke-to-iwareta-node-konomama-shiranai-furi
konyakusha-o-sute-tara-ta-no-shiimahou-ga-kkounoseikatsugamatteimashita	konyakusha-o-sutetara-tanoshii-mahou-gakkou-no-seikatsu
kouryakufuka-no-unakusogeenohiroin-ni-tenseishiteita-no-dekorosarerumae-ni-ridat	kouryaku-fukanou-na-kusogee-no-hiroin-ni-tensei-shiteita
mahouka-koukou-no-rettousei-inbeejon-hen	mahouka-koukou-no-rettousei-invasion-hen
majo-no-endingu-note	majo-no-ending-note
maryokuzero-no-saikyoukenjamahouriron-o-kiwametarasekaisaikyou-ni-natteita	maryoku-zero-no-saikyou-kenja-mahou-riron-o-kiwametara-sekai-saikyou
mayoneezuou-wa-bin-bou-ni-naritaidanjohiichitaihyakusekai-de-ikukanchigaishussek	mayonnaise-ou-wa-binbou-ni-naritai-danjohi-1-tai-100-sekai-de-iku-kanchigai
migawarideeto	migawari-date
mo-no-gatariko-no-muhimehonmononomikadokaramasakanochouaiheianshinkonemaki	monogatari-konomu-hime-honmono-no-mikado-kara-masaka-no-chouai
muka-tsuku-omae-ga-amasugiru	mukatsuku-omae-ga-amasugiru
nan-no-torie-mo-naiheibonnaore-ga-bijinfutagoshimai-o-inochigake-de-tasuketakekk	nan-no-torie-mo-nai-heibon-na-ore-ga-bijin-futago-shimai-o-inochigake
nanji-gendaidanjon-ni-kibou-o-motsubekarazu	nanji-gendai-dungeon-ni-kibou-o-motsubekarazu
nanpamobu-ga-oshigoto-de-sufurare-ni-ittarahiroin-to-no-koi-ga-hajimattani	nanpa-mobu-ga-oshigoto-desu
niyoninonmitsukensenmetsusu	niyonin-onmitsuken-senmetsusu
ochikoboreyuushapaati-no-kitsuenjo	ochikobore-yuusha-party-no-kitsuenjo
oobaahiiruhiiraaka-to-omottarakyousenshidattakenichi	over-heal-healer-ka-to-omottara-kyousenshi-datta-ken
otoko-no-ko-mo-maid-fuku-de-kawaikunatteii-de-suka	otoko-no-ko-mo-maid-fuku-de-kawaiku-natte-ii-desu-ka
ouji-wa-mukunashinkan-o-koyonakuaisuichi	ouji-wa-muku-na-shinkan-o-koyonaku-aisu
outeidenka-wa-tenseisha-o-dekiaisuruichi	outei-denka-wa-tenseisha-o-dekiai-suru
pari-ni-sakuetowaaru	paris-ni-saku-etoile
rettoushoku-no-kaifukujutsushi-kaifukuaitemu-no-hou-ga-yaku-ni-tatsu-to-waraware	rettoushoku-no-kaifuku-jutsushi-kaifuku-item-no-hou-ga-yaku-ni-tatsu
risemaradesugeemaa	risemara-death-gamer
saikyoumahoukyoushiemiriakurein-wa-hohoemukonyakuhakisaretanode-danshikoukyoushi	saikyou-mahou-kyoushi-emiria-kurein-wa-hohoemu
sakinokousetsuhyakumonogatari	saki-no-kousetsu-hyakumonogatari
sanraizu-hiru	sunrise-hill
shachiku-chanto-seikatsu-kaizenkei-shota-akuma	shachiku-chan-to-seikatsu-kaizenkei-shota-akuma
shokeifuragu-no-akuyakukizoku-ni-tenseishita-ga-shi-ni-takunai-no-deyamimahou-o	shokei-flag-no-akuyaku-kizoku-ni-tensei-shita-ga-shinitakunai
teisougyakutensekai-de-yuiitsu-no-otokokishi-no-oreonnakishigakuen-ni-nyuugakush	teisou-gyakuten-sekai-de-yuiitsu-no-otoko-kishi-no-ore
tsuihouyoteikibou-no-akuyakureijou-ni-tenseishita-no-deakuyakurashikumonogatari	tsuihou-yotei-kibou-no-akuyaku-reijou-ni-tensei-shita
usotsukisuwiitomarijjiichi	usotsuki-sweet-marriage
vtuber-kusamura-shigemi-tooku-ni-itte-shimatta-ki-ga-shita-oshi	vtuber-kusamura-shigemi
wa-ga-mamanafutago-no-imouto-ni-subete-o-ubawaretaane-de-su-ga-mushirohonmou-de	wagamama-na-futago-no-imouto-ni-subete-o-ubawareta-ane
ya-o-yorozu-toriatsukai-setsumeisho	yaoyorozu-toriatsukai-setsumeisho
yo-ni-mokimiyounajidaigekiayakashi	yo-ni-mo-kimyou-na-jidaigeki-ayakashi
youkososhuudouin-e-koko-wa-tsuihousaretaonnatachi-no-rakuenyo	youkoso-shuudouin-e-koko-wa-tsuihou-sareta-onna-tachi-no-rakuen-yo
zeninikemen-ni-shiteyarurobootadanshikaizoukeikaku	zenin-ikemen-ni-shiteyaru
zenze-no-kioku-o-torimodoshita-no-desaiainoottotorienshimasuakujotohyouban-de-sh	zenze-no-kioku-o-torimodoshita-node-saiai-no-otto-to-rien-shimasu
zurekoibiyori	zure-koi-biyori
