slug	title	英化漏れ語	flag
higana-hannichi-geemubu-gurashi	日がな半日ゲーム部暮らし	game	
hihou-seisokei-de-utte-ita-teihen-haishinsha-ukkari-haishin-o-kiri-wasureta-mama-esuesu-kyuu	〈悲報〉清楚系で売っていた底辺配信者、うっかり配信を切り忘れたままSS級モンスターを拳で殴り飛ばしてしまう	monster	
hiiroomeshi	ヒーローめし	hero	
himezoushi-sasupensu	姫草子サスペンス	suspense	
himitsu-de-naito	ひ・み・つでナイト	knight	★曖昧(knight/night等)
himitsushireimashinkeiji999	ひみつ指令マシン刑事999	machine	
ichirou-sasupensu	一朗サスペンス	suspense	
ikebukuro-reinboo-gekijou	池袋レインボー劇場	rainbow	
ikenai-dokutaa	いけない❤ドクター	doctor	
inkya-no-boku-ni-batsugeemu-de-kokuhaku-shitekita-hazu-no-gal-ga-doumitemo-boku-ni-betabore-desu	陰キャの僕に罰ゲームで告白してきたはずのギャルが、どう見ても僕にベタ惚れです	game	
kagami-yo-kagami	ミステリー劇場	mystery	
kekkon-wa-hakaba-ka-gooru-ka-romance-ka	結婚は墓場かゴールかロマンスか	goal	
kikkunooni	キックの鬼	kick	
koori-mahou-no-aisuya-san-wa-atsugari-shinkan-sama-no-go-hiiki-desu	氷魔法のアイス屋さんは、暑がり神官様のごひいきです。	ice	
kore-dakara-geemuzukuri-wa-yamerarenai	これだからゲーム作りはやめられない!	game	
kukkoro-naito	くっころナイト☆	knight	★曖昧(knight/night等)
kumo-ichizoku-to-dorogaaru	雲一族と泥ガール	girl	
kurasugoto-shuudan-teni-shimashita-ga-ichiban-tsuyoi-ore-wa-saijaku-no-shounin-ni-gisouchuu-desu	クラスごと集団転移しましたが、一番強い俺は最弱の商人に偽装中です。	class	
kyoto-sasupensu-meitantei-kyasarin-no-file-ando-mystery-best-comic-iiekkusu	京都サスペンス名探偵キャサリンの事件簿&ミステリーベストコミックEX	suspense	
kyoto-sasupensu-meitantei-kyasarin-no-file-ando-mystery-best-comic	京都サスペンス名探偵キャサリンの事件簿&ミステリーベストコミック	suspense	
love-ando-fuaiyaa	ラブ＆ファイヤー	fire	
machitohitonoromansu	街と人のロマンス	romance	
mainichi-nekozanmai-dei-naito	マイニチねこざんまいデイ&ナイト	knight	★曖昧(knight/night等)
mikawa-beruno-no-geemudamashii	美川べるののゲーム魂	game	
misuteriina-trouble-tsuaa	ミステリーなトラブル・ツアー	mystery	
monsutaamusume-no-oishasan-0	モンスター娘のお医者さん0	monster	
naiteingu-naito	ナイティング+ナイト	knight	★曖昧(knight/night等)
naito-ha-oatsui-no-ga-osuki	ナイトはお熱いのがお好き	knight	★曖昧(knight/night等)
naito-no-musume	ナイトの娘	knight	★曖昧(knight/night等)
naitobotchi	ナイトぼっち	knight	★曖昧(knight/night等)
nanairo-keito-rabu-moyou	ナナ色毛糸・ラブもよう	love	
nanbaa-2-monogatari	ナンバー2物語	number	
nanbaa-7	ナンバー7	number	
natsuki-shizuko-sasupensu	夏樹静子サスペンス	suspense	
night-kibun-de-sasayaite	ナイト気分で囁いて	knight	★曖昧(knight/night等)
night-lovers	ナイト☆ラヴァーズ	knight	★曖昧(knight/night等)
nihonshi-sasupensu-gekijou	日本史サスペンス劇場	suspense	
norogaaru	のろガール!	girl	
nurse-witch-komugi-chan-majikarute	ナースウィッチ小麦ちゃんマジカルて	magical	
obake-yakyuu-chiimu	おばけ野球チーム	team	
oedo-urawaarudo	大江戸裏ワールド	world	
oirangaaru	おいらんガール	girl	
oku-sama-de-naito	奥さまDEナイト	knight	★曖昧(knight/night等)
okubyou-hime-to-dekiai-naito	臆病ヒメと溺愛ナイト	knight	★曖昧(knight/night等)
okutani-michinori-tanpenshuu	時空ウォーズ	wars	
omajinai-komitsuku-shiyuu	ハートのないしょばなし	heart	
oshare-majo-rabu-ando-berry	オシャレ魔女・ラブandベリー	love	
ouji-ni-dekiai-saretakunai-node-motopurinsesu-desu-dansou-shitsuji-ni-narimasu	王子に溺愛されたくないので元プリンセスですが男装執事になります!	princess	
pakupaku-desuwa-tsuihousareta-sareta-ojousama	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、1食で1レベルアップする前代未聞の最強スキルでした。3日で人類最強になりましたわ～!	monster	
princess-kun-to-naito-san	プリンセスくんとナイトさん	knight	★曖昧(knight/night等)
purojiekutoxtachi-8684	制覇せよ世界最高峰レース	race	
re-load	Re: ロード	road	
reinboosentai	レインボー戦隊	rainbow	
reverse-end	リバース/エンド	rebirth	
reverse-mishima-2005	リバース!	rebirth	
reverse	リバース	rebirth	
ri-basu	リ・バース	rebirth	
ribaasu-ribaasu	リバース×リバース	rebirth	
sakuhin-nanbaa-20	作品ナンバー20	number	
satsuidokutaa-ranmaru	“殺医”ドクター蘭丸	doctor	
seijo-wa-naitotachi-ni-midasareru	聖女は騎士 (ナイト) たちに乱される	knight	★曖昧(knight/night等)
sexdokutaa-tongarisaburou	SEX ドクター尖三郎	doctor	
star-night	スタア☆ナイト	knight	★曖昧(knight/night等)
subete-ni-iyagaaru	すべてに射矢ガール	girl	
sumairufomii	スマイルfor美衣	smile	
supootsu-i	スポーツ医	sports	
tamakikku	玉キック	kick	
tantei-chiimu-kazzu-jiken-note-kiihorudaa-wa-shitte-iru	探偵チームKZ事件ノートキーホルダーは知っている	team	
tanteigeemu	探偵ゲーム	game	
toriotoko-vs-sukuuruzamurai	鳥男vsスクール侍	school	
tsukimi-san	スーパー主婦 月美さん	super	
tsuma-wa-motohiiroo	妻は元ヒーロー	hero	
tsuyogaaru	強ガール	girl	
ukkari-haitchatta-itoko-to-mitchaku-geemuchuu	うっかり入っちゃった!従姉妹と密着ゲーム中	game	
urananiomakase	ハッピーおまじないコミック	happy	
ushio-kun-kamubakku	牛男くん!カムバック	comeback	
usotsuki-naito	う・そ・つ・き・ナイト	knight	★曖昧(knight/night等)
vampire-naito-memories	ヴァンパイア騎士(ナイト)memories	knight	★曖昧(knight/night等)
waarudohyouryuuki	ワールド漂流記	world	
wanagaaru	罠ガール	girl	
watashi-no-24-rasu-no-seito-ga-hitoban-de-nijuuyonin-shinimashita	私のクラスの生徒が、一晩で24人死にました。	class	
yakuyaku-supootsu-land	やくやくスポーツらんど	sports	
yancha-gooru	やんちゃ☆ゴール!	goal	
yoake-no-uanpaia	夜明けのヴァンパイア	vampire	
